participant,partner,sex,initial_attraction,mutual_match,week,romantic_interest
8526,6366,-0.5,4.0,1,10,3.0
8584,7623,0.5,7.0,1,1,6.0
8591,894,-0.5,8.0,1,2,5.0
8591,4394,-0.5,7.0,1,2,4.0
8644,5019,0.5,5.0,1,3,3.0
8644,5019,0.5,5.0,1,4,7.0
8644,9557,0.5,9.0,1,1,1.0
8644,9557,0.5,9.0,1,2,1.0
8644,9557,0.5,9.0,1,4,7.0
8644,9557,0.5,9.0,1,5,6.0
8644,9557,0.5,9.0,1,6,4.0
8644,9557,0.5,9.0,1,7,7.0
8644,9557,0.5,9.0,1,9,6.0
8644,9557,0.5,9.0,1,10,7.0
9046,9150,0.5,8.0,0,5,3.0
9335,5512,0.5,8.0,1,1,3.0
9335,5512,0.5,8.0,1,2,2.0
9335,5512,0.5,8.0,1,3,2.0
9335,5512,0.5,8.0,1,4,3.0
9335,5512,0.5,8.0,1,5,2.0
9626,5559,0.5,9.0,1,3,3.0
9626,5559,0.5,9.0,1,4,5.0
9626,5559,0.5,9.0,1,5,4.0
9626,5559,0.5,9.0,1,7,5.0
